Industry,Process,Input,Output,Location,Year,Value
Hvc,Nto/Nta,Naphtha,Aromatics/Olefins,Leverkusen,2030,40.16878929769554
Hvc,Nto/Nta,Naphtha,Aromatics/Olefins,Leverkusen,2035,3.9221274000834683
Hvc,Nto/Nta,Naphtha,Aromatics/Olefins,Leverkusen,2040,0.0
Hvc,Nto/Nta,Naphtha,Aromatics/Olefins,Leverkusen,2045,0.0
Hvc,Nto/Nta,Naphtha,Aromatics/Olefins,Leverkusen,2050,0.0
Hvc,Mto/Mta,MeOH,Aromatics/Olefins,Leverkusen,2030,26.631210702304465
Hvc,Mto/Mta,MeOH,Aromatics/Olefins,Leverkusen,2035,62.877872599916536
Hvc,Mto/Mta,MeOH,Aromatics/Olefins,Leverkusen,2040,66.8
Hvc,Mto/Mta,MeOH,Aromatics/Olefins,Leverkusen,2045,66.8
Hvc,Mto/Mta,MeOH,Aromatics/Olefins,Leverkusen,2050,66.8
Hvc,Mto/Mta,LCMeOH,Aromatics/Olefins,Leverkusen,2030,0.0
Hvc,Mto/Mta,LCMeOH,Aromatics/Olefins,Leverkusen,2035,0.0
Hvc,Mto/Mta,LCMeOH,Aromatics/Olefins,Leverkusen,2040,0.0
Hvc,Mto/Mta,LCMeOH,Aromatics/Olefins,Leverkusen,2045,0.0
Hvc,Mto/Mta,LCMeOH,Aromatics/Olefins,Leverkusen,2050,0.0
Hvc,Mto/Mta,BMeOH,Aromatics/Olefins,Leverkusen,2030,0.0
Hvc,Mto/Mta,BMeOH,Aromatics/Olefins,Leverkusen,2035,0.0
Hvc,Mto/Mta,BMeOH,Aromatics/Olefins,Leverkusen,2040,0.0
Hvc,Mto/Mta,BMeOH,Aromatics/Olefins,Leverkusen,2045,0.0
Hvc,Mto/Mta,BMeOH,Aromatics/Olefins,Leverkusen,2050,0.0
Hvc,MeOHSyn,Electricity,MeOH,Leverkusen,2030,10.128180725754925
Hvc,MeOHSyn,Electricity,MeOH,Leverkusen,2035,25.151149039966615
Hvc,MeOHSyn,Electricity,MeOH,Leverkusen,2040,26.624672080878746
Hvc,MeOHSyn,Electricity,MeOH,Leverkusen,2045,26.38635228307563
Hvc,MeOHSyn,Electricity,MeOH,Leverkusen,2050,26.19569644483314
Hvc,MeOHSyn,Electricity,LCMeOH,Leverkusen,2030,0.0
Hvc,MeOHSyn,Electricity,LCMeOH,Leverkusen,2035,0.0
Hvc,MeOHSyn,Electricity,LCMeOH,Leverkusen,2040,0.0
Hvc,MeOHSyn,Electricity,LCMeOH,Leverkusen,2045,0.0
Hvc,MeOHSyn,Electricity,LCMeOH,Leverkusen,2050,0.0
Hvc,MeOHSyn,LCH2,LCMeOH,Leverkusen,2030,0.0
Hvc,MeOHSyn,LCH2,LCMeOH,Leverkusen,2035,0.0
Hvc,MeOHSyn,LCH2,LCMeOH,Leverkusen,2040,0.0
Hvc,MeOHSyn,LCH2,LCMeOH,Leverkusen,2045,0.0
Hvc,MeOHSyn,LCH2,LCMeOH,Leverkusen,2050,0.0
Hvc,MeOHSyn,H2,MeOH,Leverkusen,2030,4.810885844733589
Hvc,MeOHSyn,H2,MeOH,Leverkusen,2035,11.94679579398414
Hvc,MeOHSyn,H2,MeOH,Leverkusen,2040,12.646719238417404
Hvc,MeOHSyn,H2,MeOH,Leverkusen,2045,12.533517334460925
Hvc,MeOHSyn,H2,MeOH,Leverkusen,2050,12.442955811295741
Hvc,MeOHSyn,CO2,MeOH,Leverkusen,2030,35.448632540142235
