Process,Output,Value
Bof,Steel,1
Dri,Steel,1
Fertilizer Synthesis,Fertilizer,1
Hb,NH3,1
Hb,LCNH3,1
Hb,HCNH3,1
Smr,HCH2,1
SmrCCTS,LCH2,1
Asu,N,1
Conventional ICE,Conventional ICE,1
Nto/Nta,Olefins/Aromatics,1
Mto/Mta,Olefins/Aromatics,1
MeOHSyn,MeOH,1
MeOHSyn,LCMeOH,1
Dac,CO2,1
Btm,BMeOH,1
Onwind,Electricity,1
Offwind,Electricity,1
Wind,Electricity,1
El,H2,1
Pv,Electricity,1
AmCr,H2,1
H2Liq,LH2,1
H2Eva,H2,1
Conventional ICE,Shipping,1
H2  ICE,Shipping,1
H2 ICE,Shipping,1
MeOH ICE,Shipping,1
NH3 ICE,Shipping,1
FT,E-Kersone,1
JetEngine,Aviation,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
